编号,色泽,根蒂,敲声,纹理,脐部,触感,密度,含糖率,好瓜
1,1,1,2,3,1,2,0.697,0.46,1
2,2,1,1,3,1,2,0.774,0.376,1
3,2,2,2,3,2,1,0.36,0.37,0
4,1,1,1,3,1,2,0.608,0.318,1
5,3,1,2,3,1,2,0.556,0.215,1
6,3,1,2,1,3,1,0.343,0.099,0
7,2,2,2,2,2,1,0.481,0.149,1
8,1,1,1,2,2,2,0.719,0.103,0
9,2,2,1,2,2,2,0.666,0.091,0
10,1,3,3,3,3,1,0.243,0.267,0
11,3,3,3,1,3,2,0.245,0.057,0
12,1,2,2,3,2,1,0.403,0.237,1
13,1,2,2,2,1,2,0.639,0.161,0
14,3,2,1,2,1,2,0.657,0.198,0
15,2,1,2,3,1,2,0.634,0.264,1
16,3,1,2,1,3,2,0.593,0.042,0
17,2,2,2,2,2,2,0.437,0.211,1
